Date,Close
11/11/2022,145.820007
11/10/2022,141.240005
11/9/2022,138.5
11/8/2022,140.410004
11/7/2022,137.110001
11/4/2022,142.089996
11/3/2022,142.059998
11/2/2022,148.949997
11/1/2022,155.080002
10/31/2022,153.160004
10/28/2022,148.199997
10/27/2022,148.070007
10/26/2022,150.960007
10/25/2022,150.089996
10/24/2022,147.190002
10/21/2022,142.869995
10/20/2022,143.020004
10/19/2022,141.690002
10/18/2022,145.490005
10/17/2022,141.070007
10/14/2022,144.309998
10/13/2022,134.990005
10/12/2022,139.130005
10/11/2022,139.899994
10/10/2022,140.419998
10/7/2022,142.539993
10/6/2022,145.809998
10/5/2022,144.070007
10/4/2022,145.029999
10/3/2022,138.210007
9/30/2022,141.279999
9/29/2022,146.100006
9/28/2022,147.639999
9/27/2022,152.740005
9/26/2022,149.660004
9/23/2022,151.190002
9/22/2022,152.380005
9/21/2022,157.339996
9/20/2022,153.399994
9/19/2022,149.309998
9/16/2022,151.210007
9/15/2022,154.649994
9/14/2022,154.789993
9/13/2022,159.899994
9/12/2022,159.589996
9/9/2022,155.470001
9/8/2022,154.639999
9/7/2022,154.820007
9/6/2022,156.470001
9/2/2022,159.75
9/1/2022,156.639999
8/31/2022,160.309998
8/30/2022,162.130005
8/29/2022,161.149994
8/26/2022,170.570007
8/25/2022,168.779999
8/24/2022,167.320007
8/23/2022,167.080002
8/22/2022,169.690002
8/19/2022,173.029999
8/18/2022,173.75
8/17/2022,172.770004
8/16/2022,172.779999
8/15/2022,171.520004
8/12/2022,169.820007
8/11/2022,170.059998
8/10/2022,167.679993
8/9/2022,164.020004
8/8/2022,166.369995
8/5/2022,163.210007
8/4/2022,166.009995
8/3/2022,160.839996
8/2/2022,160.100006
8/1/2022,161.009995
7/29/2022,161.240005
7/28/2022,156.979996
7/27/2022,152.580002
7/26/2022,152.259995
7/25/2022,154.009995
7/22/2022,155.389999
7/21/2022,154.5
7/20/2022,151.119995
7/19/2022,147.919998
7/18/2022,150.740005
7/15/2022,149.779999
7/14/2022,144.080002
7/13/2022,142.990005
7/12/2022,145.759995
7/11/2022,145.669998
7/8/2022,145.259995
7/7/2022,143.289993
7/6/2022,141.350006
7/5/2022,137.770004
7/1/2022,136.039993
6/30/2022,137.25
6/29/2022,137.460007
6/28/2022,142.130005
6/27/2022,142.699997
6/24/2022,139.899994
6/23/2022,136.820007
6/22/2022,134.789993
6/21/2022,133.419998
6/17/2022,130.070007
6/16/2022,132.080002
6/15/2022,134.289993
6/14/2022,133.130005
6/13/2022,132.869995
6/10/2022,140.279999
6/9/2022,147.080002
6/8/2022,148.580002
6/7/2022,144.350006
6/6/2022,147.029999
6/3/2022,146.899994
6/2/2022,147.830002
6/1/2022,149.899994
5/31/2022,149.070007
5/27/2022,145.389999
5/26/2022,137.389999
5/25/2022,138.429993
5/24/2022,140.809998
5/23/2022,137.789993
5/20/2022,139.089996
5/19/2022,139.880005
5/18/2022,146.850006
5/17/2022,148.860001
5/16/2022,145.550003
5/13/2022,144.589996
5/12/2022,142.770004
5/11/2022,153.5
5/10/2022,155.520004
5/9/2022,154.929993
5/6/2022,156.009995
5/5/2022,163.850006
5/4/2022,159.669998
5/3/2022,158.149994
5/2/2022,156.710007
4/29/2022,161.839996
4/28/2022,159.25
4/27/2022,155.910004
4/26/2022,162.25
4/25/2022,161.119995
4/22/2022,166.460007
4/21/2022,168.910004
4/20/2022,168.759995
4/19/2022,165.020004
4/18/2022,163.919998
4/14/2022,170.619995
4/13/2022,167.389999
4/12/2022,168.020004
4/11/2022,168.710007
4/8/2022,171.779999
4/7/2022,171.160004
4/6/2022,172.360001
4/5/2022,177.5
4/4/2022,174.570007
4/1/2022,174.029999
3/31/2022,177.839996
3/30/2022,178.550003
3/29/2022,176.690002
3/28/2022,172.169998
3/25/2022,173.880005
3/24/2022,171.059998
3/23/2022,167.990005
3/22/2022,165.509995
3/21/2022,163.509995
3/18/2022,160.509995
3/17/2022,158.610001
3/16/2022,157.050003
3/15/2022,150.899994
3/14/2022,151.449997
3/11/2022,158.929993
3/10/2022,160.199997
3/9/2022,161.479996
3/8/2022,158.820007
3/7/2022,163.360001
3/4/2022,164.490005
3/3/2022,168.470001
3/2/2022,164.389999
3/1/2022,164.699997
2/28/2022,163.059998
2/25/2022,163.839996
2/24/2022,152.580002
2/23/2022,165.539993
2/22/2022,164.979996
2/18/2022,169.820007
2/17/2022,171.029999
2/16/2022,171.850006
2/15/2022,170.970001
2/14/2022,167.369995
2/11/2022,172.330002
2/10/2022,174.139999
2/9/2022,176.050003
2/8/2022,171.729996
2/7/2022,172.860001
2/4/2022,171.679993
2/3/2022,174.479996
2/2/2022,174.75
2/1/2022,174.009995
1/31/2022,170.160004
1/28/2022,165.710007
